line_number,modified_ast
32,FieldDeclaration 32 VariableDeclaration 32 GenericName 32 TypeArgumentList 32 IdentifierName 32 GenericName 32 TypeArgumentList 32 IdentifierName 32 PredefinedType 32 VariableDeclarator 32 EqualsValueClause 32 ObjectCreationExpression 32 GenericName 32 TypeArgumentList 32 IdentifierName 32 GenericName 32 TypeArgumentList 32 IdentifierName 32 PredefinedType
168,IfStatement 168 EqualsExpression 168 ElementAccessExpression 168 IdentifierName 168 BracketedArgumentList 168 Argument 168 NumericLiteralExpression 168 StringLiteralExpression
54,FieldDeclaration 54 VariableDeclaration 54 IdentifierName 54 VariableDeclarator 54 EqualsValueClause 54 ObjectCreationExpression 54 IdentifierName 54 ArgumentList
170,SetAccessorDeclaration 170 ArrowExpressionClause 170 SimpleAssignmentExpression 170 IdentifierName 170 SimpleMemberAccessExpression 170 IdentifierName 170 IdentifierName
176,SetAccessorDeclaration 176 ArrowExpressionClause 176 SimpleAssignmentExpression 176 IdentifierName 176 SimpleMemberAccessExpression 176 IdentifierName 176 IdentifierName
182,SetAccessorDeclaration 182 ArrowExpressionClause 182 SimpleAssignmentExpression 182 IdentifierName 182 SimpleMemberAccessExpression 182 IdentifierName 182 IdentifierName
188,SetAccessorDeclaration 188 ArrowExpressionClause 188 SimpleAssignmentExpression 188 IdentifierName 188 SimpleMemberAccessExpression 188 IdentifierName 188 IdentifierName
249,ExpressionStatement 249 SimpleAssignmentExpression 249 SimpleMemberAccessExpression 249 IdentifierName 249 IdentifierName 249 ObjectCreationExpression 249 IdentifierName 249 ArgumentList 249 Argument 249 AddExpression 249 AddExpression 249 StringLiteralExpression 249 InvocationExpression 249 SimpleMemberAccessExpression 249 IdentifierName 249 IdentifierName 249 ArgumentList 249 Argument 249 IdentifierName 249 StringLiteralExpression
325,MethodDeclaration 325 IdentifierName 325 ParameterList 325 Parameter 325 PredefinedType
17,MethodDeclaration 17 PredefinedType 17 ParameterList 17 Parameter 17 IdentifierName
66,MethodDeclaration 66 PredefinedType 66 ParameterList 66 Parameter 66 IdentifierName
10,ClassDeclaration
